date,vol_bucket,risk_regime
2023-04-12,Low_Vol,Neutral
2023-04-13,Mid_Vol,Risk-Off
2023-04-14,Mid_Vol,Risk-Off
2023-04-17,Low_Vol,Risk-Off
2023-04-18,Low_Vol,Risk-Off
2023-04-19,Low_Vol,Risk-Off
2023-04-20,Low_Vol,Risk-Off
2023-04-21,Low_Vol,Risk-Off
2023-04-24,Low_Vol,Risk-Off
2023-04-25,Low_Vol,Risk-Off
2023-04-26,Low_Vol,Risk-Off
2023-04-27,Mid_Vol,Risk-Off
2023-04-28,Mid_Vol,Risk-Off
2023-05-01,Mid_Vol,Risk-Off
2023-05-02,Mid_Vol,Risk-Off
2023-05-03,Mid_Vol,Risk-Off
2023-05-04,Mid_Vol,Risk-Off
2023-05-05,Mid_Vol,Risk-Off
2023-05-08,Mid_Vol,Risk-Off
2023-05-09,Mid_Vol,Risk-Off
2023-05-10,Mid_Vol,Risk-Off
2023-05-11,Mid_Vol,Risk-Off
2023-05-12,Mid_Vol,Risk-Off
2023-05-15,Mid_Vol,Risk-Off
2023-05-16,Mid_Vol,Risk-Off
2023-05-17,Mid_Vol,Risk-Off
2023-05-18,Mid_Vol,Risk-Off
2023-05-19,Mid_Vol,Risk-Off
2023-05-22,Mid_Vol,Risk-Off
2023-05-23,Mid_Vol,Risk-Off
2023-05-24,Mid_Vol,Risk-Off
2023-05-25,Low_Vol,Risk-Off
2023-05-26,Mid_Vol,Risk-Off
2023-05-30,Mid_Vol,Risk-Off
2023-05-31,Mid_Vol,Risk-Off
2023-06-01,Mid_Vol,Risk-Off
2023-06-02,Mid_Vol,Risk-Off
2023-06-05,Mid_Vol,Risk-Off
2023-06-06,Mid_Vol,Risk-Off
2023-06-07,Mid_Vol,Risk-Off
2023-06-08,Mid_Vol,Risk-Off
2023-06-09,Mid_Vol,Risk-Off
2023-06-12,Mid_Vol,Risk-Off
2023-06-13,Mid_Vol,Risk-Off
2023-06-14,Mid_Vol,Risk-Off
2023-06-15,Mid_Vol,Risk-Off
2023-06-16,Mid_Vol,Risk-Off
2023-06-20,Mid_Vol,Risk-Off
2023-06-21,Low_Vol,Risk-Off
2023-06-22,Low_Vol,Risk-Off
2023-06-23,Low_Vol,Risk-Off
2023-06-26,Low_Vol,Risk-Off
2023-06-27,Low_Vol,Risk-Off
2023-06-28,Low_Vol,Risk-Off
2023-06-29,Low_Vol,Risk-Off
2023-06-30,Low_Vol,Risk-Off
2023-07-03,Low_Vol,Risk-Off
2023-07-05,Low_Vol,Risk-Off
2023-07-06,Low_Vol,Risk-Off
2023-07-07,Low_Vol,Risk-Off
2023-07-10,Low_Vol,Risk-Off
2023-07-11,Low_Vol,Risk-Off
2023-07-12,Low_Vol,Risk-Off
2023-07-13,Low_Vol,Risk-Off
2023-07-14,Low_Vol,Risk-Off
2023-07-17,Low_Vol,Risk-Off
2023-07-18,Low_Vol,Risk-Off
2023-07-19,Low_Vol,Risk-Off
2023-07-20,Low_Vol,Risk-Off
2023-07-21,Low_Vol,Risk-Off
2023-07-24,Low_Vol,Risk-Off
2023-07-25,Low_Vol,Risk-Off
2023-07-26,Low_Vol,Risk-Off
2023-07-27,Low_Vol,Risk-Off
2023-07-28,Low_Vol,Risk-Off
2023-07-31,Low_Vol,Risk-Off
2023-08-01,Low_Vol,Risk-Off
2023-08-02,Low_Vol,Risk-Off
2023-08-03,Low_Vol,Risk-Off
2023-08-04,Low_Vol,Risk-Off
2023-08-07,Low_Vol,Risk-Off
2023-08-08,Low_Vol,Risk-Off
2023-08-09,Low_Vol,Risk-Off
2023-08-10,Low_Vol,Risk-Off
2023-08-11,Low_Vol,Risk-Off
2023-08-14,Low_Vol,Risk-Off
2023-08-15,Mid_Vol,Risk-Off
2023-08-16,Mid_Vol,Risk-Off
2023-08-17,Mid_Vol,Risk-Off
2023-08-18,Mid_Vol,Risk-Off
2023-08-21,Mid_Vol,Risk-Off
2023-08-22,Low_Vol,Risk-Off
2023-08-23,Low_Vol,Risk-Off
2023-08-24,Mid_Vol,Risk-Off
2023-08-25,Mid_Vol,Risk-Off
2023-08-28,Mid_Vol,Risk-Off
2023-08-29,Mid_Vol,Risk-Off
2023-08-30,Mid_Vol,Risk-Off
2023-08-31,Mid_Vol,Risk-Off
2023-09-01,Mid_Vol,Risk-Off
2023-09-05,Mid_Vol,Risk-Off
2023-09-06,Mid_Vol,Risk-Off
2023-09-07,Mid_Vol,Risk-Off
2023-09-08,Mid_Vol,Risk-Off
2023-09-11,Mid_Vol,Risk-Off
2023-09-12,Mid_Vol,Risk-Off
2023-09-13,Low_Vol,Risk-Off
2023-09-14,Low_Vol,Risk-On
2023-09-15,Low_Vol,Risk-Off
2023-09-18,Low_Vol,Risk-Off
2023-09-19,Low_Vol,Risk-Off
2023-09-20,Low_Vol,Risk-Off
2023-09-21,Mid_Vol,Risk-Off
2023-09-22,Mid_Vol,Risk-Off
2023-09-25,Mid_Vol,Risk-Off
2023-09-26,Mid_Vol,Risk-Off
2023-09-27,Mid_Vol,Risk-Off
2023-09-28,Mid_Vol,Risk-Off
2023-09-29,Mid_Vol,Risk-Off
2023-10-02,Mid_Vol,Risk-Off
2023-10-03,Mid_Vol,Risk-Off
2023-10-04,Mid_Vol,Risk-Off
2023-10-05,Mid_Vol,Risk-Off
2023-10-06,Mid_Vol,Risk-Off
2023-10-10,Mid_Vol,Risk-On
2023-10-11,Mid_Vol,Risk-On
2023-10-12,Mid_Vol,Neutral
2023-10-13,Low_Vol,Neutral
2023-10-16,Mid_Vol,Risk-Off
2023-10-17,Mid_Vol,Neutral
2023-10-18,Mid_Vol,Risk-Off
2023-10-19,Mid_Vol,Risk-Off
2023-10-20,Mid_Vol,Risk-Off
2023-10-23,Mid_Vol,Risk-Off
2023-10-24,Mid_Vol,Risk-Off
2023-10-25,Mid_Vol,Risk-Off
2023-10-26,Mid_Vol,Risk-Off
2023-10-27,Mid_Vol,Risk-Off
2023-10-30,Mid_Vol,Risk-Off
2023-10-31,Mid_Vol,Risk-Off
2023-11-01,Mid_Vol,Risk-Off
2023-11-02,High_Vol,Risk-On
2023-11-03,High_Vol,Risk-On
2023-11-06,High_Vol,Risk-On
2023-11-07,High_Vol,Risk-On
2023-11-08,Mid_Vol,Risk-On
2023-11-09,Mid_Vol,Neutral
2023-11-13,High_Vol,Risk-On
2023-11-14,High_Vol,Risk-Off
2023-11-15,High_Vol,Risk-Off
2023-11-16,High_Vol,Risk-Off
2023-11-17,Mid_Vol,Risk-Off
2023-11-20,Mid_Vol,Risk-Off
2023-11-21,Mid_Vol,Risk-Off
2023-11-22,Mid_Vol,Risk-Off
2023-11-24,Mid_Vol,Risk-Off
2023-11-27,Mid_Vol,Risk-Off
2023-11-28,Mid_Vol,Risk-Off
2023-11-29,Mid_Vol,Risk-Off
2023-11-30,Mid_Vol,Risk-Off
2023-12-01,Low_Vol,Risk-Off
2023-12-04,Low_Vol,Risk-Off
2023-12-05,Low_Vol,Risk-Off
2023-12-06,Low_Vol,Risk-Off
2023-12-07,Low_Vol,Risk-Off
2023-12-08,Low_Vol,Risk-Off
2023-12-11,Low_Vol,Risk-Off
2023-12-12,Low_Vol,Risk-Off
2023-12-13,Low_Vol,Risk-Off
2023-12-14,Low_Vol,Risk-Off
2023-12-15,Low_Vol,Risk-Off
2023-12-18,Low_Vol,Risk-Off
2023-12-19,Low_Vol,Risk-Off
2023-12-20,Mid_Vol,Risk-Off
2023-12-21,Mid_Vol,Risk-Off
2023-12-22,Mid_Vol,Risk-Off
2023-12-26,Mid_Vol,Risk-Off
2023-12-27,Low_Vol,Risk-Off
2023-12-28,Low_Vol,Risk-Off
2023-12-29,Low_Vol,Risk-Off
2024-01-02,Low_Vol,Risk-Off
